time_stamp,shop_id,pay_num,cate_2_name
2016/1/1,14,33,fast food
2016/1/2,14,35,fast food
2016/1/3,14,20,fast food
2016/1/4,14,53,fast food
2016/1/5,14,54,fast food
2016/1/6,14,53,fast food
2016/1/7,14,66,fast food
2016/1/8,14,47,fast food
2016/1/9,14,63,fast food
2016/1/10,14,40,fast food
2016/1/11,14,52,fast food
2016/1/12,14,52,fast food
2016/1/13,14,59,fast food
2016/1/14,14,59,fast food
2016/1/15,14,51,fast food
2016/1/16,14,48,fast food
2016/1/17,14,43,fast food
2016/1/18,14,56,fast food
2016/1/19,14,58,fast food
2016/1/20,14,45,fast food
2016/1/21,14,50,fast food
2016/1/22,14,44,fast food
2016/1/23,14,41,fast food
2016/1/24,14,43,fast food
2016/1/25,14,57,fast food
2016/1/26,14,60,fast food
2016/1/27,14,50,fast food
2016/1/28,14,61,fast food
2016/1/29,14,59,fast food
2016/1/30,14,48,fast food
2016/1/31,14,44,fast food
2016/2/1,14,54,fast food
2016/2/2,14,58,fast food
2016/2/3,14,75,fast food
2016/2/4,14,40,fast food
2016/2/5,14,50,fast food
2016/2/6,14,39,fast food
2016/2/7,14,12,fast food
2016/2/8,14,9,fast food
2016/2/9,14,9,fast food
2016/2/10,14,15,fast food
2016/2/11,14,25,fast food
2016/2/12,14,21,fast food
2016/2/13,14,37,fast food
2016/2/14,14,38,fast food
2016/2/15,14,42,fast food
2016/2/16,14,53,fast food
2016/2/17,14,37,fast food
2016/2/18,14,53,fast food
2016/2/19,14,46,fast food
2016/2/20,14,49,fast food
2016/2/21,14,46,fast food
2016/2/22,14,39,fast food
2016/2/23,14,42,fast food
2016/2/24,14,45,fast food
2016/2/25,14,58,fast food
2016/2/26,14,64,fast food
2016/2/27,14,56,fast food
2016/2/28,14,74,fast food
2016/2/29,14,66,fast food
2016/3/1,14,51,fast food
2016/3/2,14,57,fast food
2016/3/3,14,52,fast food
2016/3/4,14,54,fast food
2016/3/5,14,65,fast food
2016/3/6,14,53,fast food
2016/3/7,14,74,fast food
2016/3/8,14,50,fast food
2016/3/9,14,52,fast food
2016/3/10,14,57,fast food
2016/3/11,14,75,fast food
2016/3/12,14,55,fast food
2016/3/13,14,50,fast food
2016/3/14,14,61,fast food
2016/3/15,14,59,fast food
2016/3/16,14,49,fast food
2016/3/17,14,31,fast food
2016/3/18,14,59,fast food
2016/3/19,14,63,fast food
2016/3/20,14,53,fast food
2016/3/21,14,64,fast food
2016/3/22,14,56,fast food
2016/3/23,14,74,fast food
2016/3/24,14,50,fast food
2016/3/25,14,68,fast food
2016/3/26,14,79,fast food
2016/3/27,14,74,fast food
2016/3/28,14,83,fast food
2016/3/29,14,71,fast food
2016/3/30,14,54,fast food
2016/3/31,14,38,fast food
2016/4/1,14,56,fast food
2016/4/2,14,50,fast food
2016/4/3,14,55,fast food
2016/4/4,14,55,fast food
2016/4/5,14,71,fast food
2016/4/6,14,58,fast food
2016/4/7,14,55,fast food
2016/4/8,14,57,fast food
2016/4/9,14,55,fast food
2016/4/10,14,42,fast food
2016/4/11,14,71,fast food
2016/4/12,14,43,fast food
2016/4/13,14,36,fast food
2016/4/14,14,43,fast food
2016/4/15,14,55,fast food
2016/4/16,14,76,fast food
2016/4/17,14,49,fast food
2016/4/18,14,54,fast food
2016/4/19,14,67,fast food
2016/4/20,14,56,fast food
2016/4/21,14,51,fast food
2016/4/22,14,59,fast food
2016/4/23,14,62,fast food
2016/4/24,14,53,fast food
2016/4/25,14,62,fast food
2016/4/26,14,62,fast food
2016/4/27,14,41,fast food
2016/4/28,14,108,fast food
2016/4/29,14,63,fast food
2016/4/30,14,53,fast food
2016/5/1,14,47,fast food
2016/5/2,14,40,fast food
2016/5/3,14,52,fast food
2016/5/4,14,51,fast food
2016/5/5,14,55,fast food
2016/5/6,14,57,fast food
2016/5/7,14,34,fast food
2016/5/8,14,40,fast food
2016/5/9,14,59,fast food
2016/5/10,14,55,fast food
2016/5/11,14,58,fast food
2016/5/12,14,46,fast food
2016/5/13,14,53,fast food
2016/5/14,14,58,fast food
2016/5/15,14,47,fast food
2016/5/16,14,52,fast food
2016/5/17,14,56,fast food
2016/5/18,14,66,fast food
2016/5/19,14,84,fast food
2016/5/20,14,55,fast food
2016/5/21,14,61,fast food
2016/5/22,14,65,fast food
2016/5/23,14,64,fast food
2016/5/24,14,39,fast food
2016/5/25,14,62,fast food
2016/5/26,14,57,fast food
2016/5/27,14,69,fast food
2016/5/28,14,37,fast food
2016/5/29,14,46,fast food
2016/5/30,14,51,fast food
2016/5/31,14,46,fast food
2016/6/1,14,39,fast food
2016/6/2,14,29,fast food
2016/6/3,14,62,fast food
2016/6/4,14,42,fast food
2016/6/5,14,42,fast food
2016/6/6,14,43,fast food
2016/6/7,14,34,fast food
2016/6/8,14,44,fast food
2016/6/9,14,23,fast food
2016/6/10,14,38,fast food
2016/6/11,14,28,fast food
2016/6/12,14,32,fast food
2016/6/13,14,48,fast food
2016/6/14,14,37,fast food
2016/6/15,14,34,fast food
2016/6/16,14,37,fast food
2016/6/17,14,33,fast food
2016/6/18,14,55,fast food
2016/6/19,14,40,fast food
2016/6/20,14,62,fast food
2016/6/21,14,62,fast food
2016/6/22,14,64,fast food
2016/6/23,14,37,fast food
2016/6/24,14,68,fast food
2016/6/25,14,62,fast food
2016/6/26,14,60,fast food
2016/6/27,14,49,fast food
2016/6/28,14,39,fast food
2016/6/29,14,49,fast food
2016/6/30,14,43,fast food
2016/7/1,14,47,fast food
2016/7/2,14,34,fast food
2016/7/3,14,29,fast food
2016/7/4,14,41,fast food
2016/7/5,14,25,fast food
2016/7/6,14,27,fast food
2016/7/7,14,39,fast food
2016/7/8,14,36,fast food
2016/7/9,14,42,fast food
2016/7/10,14,35,fast food
2016/7/11,14,33,fast food
2016/7/12,14,26,fast food
2016/7/13,14,40,fast food
2016/7/14,14,21,fast food
2016/7/15,14,37,fast food
2016/7/16,14,36,fast food
2016/7/17,14,32,fast food
2016/7/18,14,32,fast food
2016/7/19,14,49,fast food
2016/7/20,14,28,fast food
2016/7/21,14,30,fast food
2016/7/22,14,44,fast food
2016/7/23,14,41,fast food
2016/7/24,14,45,fast food
2016/7/25,14,39,fast food
2016/7/26,14,41,fast food
2016/7/27,14,43,fast food
2016/7/28,14,33,fast food
2016/7/29,14,41,fast food
2016/7/30,14,46,fast food
2016/7/31,14,48,fast food
2016/8/1,14,41,fast food
2016/8/2,14,30,fast food
